system:index,date,location,rainfall_mm,.geo
20200912,2020-09-12,Quang Tri,3.0226235620455433,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200913,2020-09-13,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200914,2020-09-14,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200915,2020-09-15,Quang Tri,0.8782805307410684,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200916,2020-09-16,Quang Tri,6.703606737440751,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200917,2020-09-17,Quang Tri,79.61685775675346,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200918,2020-09-18,Quang Tri,101.24062843456792,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200919,2020-09-19,Quang Tri,18.037154215395226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200920,2020-09-20,Quang Tri,29.776058522631278,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200921,2020-09-21,Quang Tri,8.629632897512478,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200922,2020-09-22,Quang Tri,1.5240008035317363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200923,2020-09-23,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200924,2020-09-24,Quang Tri,0.5509885220750015,"{""type"":""MultiPoint"",""coordinates"":[]}"
